LegalNm,BusNm,Address,City,State,Country,Zipcode,Phone_Number,Website,Total_Assets,Clients
LIFE UNLOCKED PARTNERS LLC,LIFE UNLOCKED PARTNERS LLC,,,,,,888-278-2080,https://www.lifeunlocked.partners,10255618,11-25
"ABG FINANCIAL SERVICES, INC.","ABG FINANCIAL SERVICES, INC.",3043 RIVERSTONE TRAIL,ATLANTA,GA,United States,30339,888-463-0440,HTTP://WWW.LINKEDIN/WTPARKERWEALTH,10271822,11-25
THE CASCADIA GROUP LLC,CASCADIA INVESTMENT CONSULTANTS,1600 VALLEY RIVER DRIVE,EUGENE,OR,United States,97401-2129,541-686-6164,HTTP://WWW.CASCADIACONSULTANTS.COM,10272006,11-25
"RED ROCK CAPITAL ADVISORS, LLC","RED ROCK CAPITAL ADVISORS, LLC",,,,,,218-262-3638,HTTP://WWW.REDROCKCAPITALADVISORS.COM,10272496,0
"BRIDGETOWN FINANCIAL GROUP, LLC","BRIDGETOWN FINANCIAL GROUP, LLC",,,,,,503-730-4673,HTTP://WWW.BRIDGETOWNFINANCIALGROUP.COM,10276259,11-25
"CHARTERED FINANCIAL SERVICES, INC.",MONEYGROW.COM Â®,,,,,,404-245-7900,HTTP://WWW.MONEYGROW.COM,10277905,1-10
"HOLYOAK WEALTH MANAGEMENT, LLC","HOLYOAK WEALTH MANAGEMENT, LLC",,,,,,480-227-5458,,10278880,51-100
"FARRAR WEALTH MANAGEMENT, LLC","FARRAR WEALTH MANAGEMENT, LLC",,,,,,561-635-7846,,10282553,1-10
DERIGO CAPITAL MANAGEMENT LLC,DERIGO CAPITAL,,,,,,510-646-3282,http://www.derigocapital.com,10290000,
"YOUR BEST PATH, LLC","YOUR BEST PATH, LLC",,,,,,703-573-7325,https://www.facebook.com/YourBestPathFP,10292723,26-50
"FIRST FINANCIAL SECURITY, LLC","FIRST FINANCIAL SECURITY, LLC",,,,,,610-220-7151,https://www.linkedin.com/in/w-john-mccartin-4203624,10297000,
FOCUS ASSET MANAGEMENT LLC,FOCUS ASSET MANAGEMENT LLC,555 MADISON AVENUE,NEW YORK,NY,United States,10022,646-484-8804,,10298600,11-25
"AMES CAPITAL MANAGEMENT, INC.","AMES CAPITAL MANAGEMENT, INC.",,,,,,941-378-5000,HTTP://WWW.AMESCAPITALMANAGEMENT.COM,10300000,
"LAJALA, STEPHEN EDWARD",LAJALA & ASSOCIATES,1999 S. BASCOM AVE. #1010,CAMPBELL,CA,United States,95008,408-371-9183,HTTP://WWW.LAJALA.COM,10300000,
"WYNSTONE INVESTMENT ADVISORS, LLC.","WYNSTONE INVESTMENT ADVISORS, LLC.",,,,,,847-846-8200,,10300000,1-10
"MARIPOSA CAPITAL MANAGEMENT, LLC","MARIPOSA CAPITAL MANAGEMENT, LLC",251 S LAKE AVE,PASADENA,CA,United States,91101,323-393-0250,HTTP://WWW.MARIPOSACAP.COM,10300000,
"DOUBLE EAGLE PARTNERS, LLC","DOUBLE EAGLE PARTNERS, LLC",,,,,,704-472-8488,https://www.linkedin.com/company/double-eagle-partners/about/?viewAsMember=true,10301078,
"CARDINAL FINANCIAL CONSULTANTS, LLC","CARDINAL FINANCIAL CONSULTANTS, LLC",4295 OKEMOS RD. #120,OKEMOS,MI,United States,48864,5172300082,http://cardinalfinancialconsultants.com,10302000,0
RETIREMENT CAPITAL SERVICES LLC,RETIREMENT CAPITAL SERVICES LLC,8273 S. SAGINAW ST,GRAND BLANC,MI,United States,48439,248-978-5010,https://retirementcap.com,10307000,0
"TEN ELMS FINANCIAL, LLC","TEN ELMS FINANCIAL, LLC",,,,,,713-660-6660,HTTP://WWW.TENELMS.COM/,10315013,1-10
"CRAWFORD ADVISORY GROUP, LLC","CRAWFORD ADVISORY GROUP, LLC",9442 N CAPITAL OF TEXAS HWY,AUSTIN,TX,United States,78759,512-218-9202,HTTP://WWW.CRAWFORDADVISORY.COM,10315632,1-10
"BILL TASKER, INC.","RETIREMENT INCOME MANAGEMENT, INC.",27475 FERRY ROAD,WARRENVILLE,IL,United States,60555,630-717-2909,HTTP://WWW.RIMCO.NET,10315998,0
"ROSS, DAVID LLOYD",ROSS FINANCIAL GROUP,,,,,,562-438-1000,https://rossfg.com/,10320223,0
LAIRD - ALTMAN HOLDINGS LLC,LAIRD - ALTMAN HOLDINGS LLC,,,,,,646-330-5778,,10323509,
BEVERLY HILLS CAPITAL MANAGEMENT LLC,BEVERLY HILLS CAPITAL MANAGEMENT LLC,136 S CLARK DRIVE,BEVERLY HILLS,CA,United States,90211,(310) 742-6728,,10325267,
"SHANZER, HERBERT MARTIN",SHANZER MANAGEMENT,,,,,,978-392-1508,,10331300,0
"ABOUND WEALTH STRATEGIES, LLC",ABOUND WEALTH STRATEGIES,9101 WESLEYAN RD,INDIANAPOLIS,IN,United States,46268,317-672-2591,http://aboundwealthstrategies.com,10336820,11-25
"FINANCIAL ABUNDANCE, LLC","FINANCIAL ABUNDANCE, LLC",,,,,,303-554-0309,,10340006,1-10
"HAVEN FINANCIAL SOLUTIONS, INC","HAVEN FINANCIAL SOLUTIONS, INC",,,,,,847-864-2761,HTTP://WWW.HAVENFINANCIALSOLUTIONS.COM,10342236,26-50
"BARNAI ASSET MANAGEMENT, LLC",BARNAI ASSET MANAGEMENT,,,,,,303-601-1410,HTTPS://WWW.BARNAIASSETMANAGEMENT.COM,10351826,
"GRANITE HILL CAPITAL MANAGEMENT, LLC","GRANITE HILL CAPITAL MANAGEMENT, LLC",,,,,,203-431-4447,HTTP://WWW.GRANITEHILLCAPITAL.COM,10357154,1-10
MBB ADVISORY LLC,MBB ADVISORY LLC,,,,,,917-834-4742,,10357537,0
SPOTLIGHT INVESTMENT LLC,SPOTLIGHT INVESTMENT LLC,,,,,,954-681-1169,http://www.spotlightinvestment.com,10357588,0
LIMBER CAPITAL LLC,LIMBER CAPITAL LLC,,,,,,218-205-4361,,10358583,
MIRICA WEALTH MANAGEMENT LLC,MIRICA WEALTH,,,,,,617-658-3381,https://www.Linkedin.com/in/rnrazvan,10359420,26-50
THE HUGHES GROUP WEALTH MANAGEMENT PARTNERS LLC,THE HUGHES GROUP WEALTH MANAGEMENT PARTNERS LLC,11824 JOLLYVILLE ROAD,AUSTIN,TX,United States,78759,512-582-4893,HTTP://THEHUGHESGROUPTEXAS.COM,10360000,0
"TKM FINANCIAL SERVICES, LLC","TKM FINANCIAL SERVICES, LLC","10602 TIMBERWOOD CIRCLE, #2",LOUISVILLE,KY,United States,40223,502.450.7526,http://www.linkedin.com/in/todd-k-meador-mba-cfpÂ®-ctfa-a783ba56,10360006,11-25
"SHARMA ASSOCIATES, INC.","SHARMA ASSOCIATES, INC.",,,,,,610-828-8253,HTTP://WWW.SHARMAH.COM,10380282,
"WALDO INVESTMENT ADVISORS, LLC","WALDO INVESTMENT ADVISORS, LLC",,,,,,800-694-0492,https://www.linkedin.com/in/james-waldo-b27363b1/,10382330,
ALPHYN CAPITAL MANAGEMENT LLC,ALPHYN CAPITAL MANAGEMENT LLC,100 DUFFY AVENUE,HICKSVILLE,NY,United States,11801,646-596-1682,https://www.alphyncap.com,10390447,
"EAMON CAPITAL MANAGEMENT, LLC","EAMON CAPITAL MANAGEMENT, LLC",7500 BROOKTREE ROAD,WEXFORD,PA,United States,15090,(412) 324-6034,http://www.eamoncap.com/,10397518,1-10
"FINANCIAL CONSULTING PROFESSIONALS, LLC","FINANCIAL CONSULTING PROFESSIONALS, LLC",7028 E. FRIESS DRIVE,SCOTTSDALE,AZ,United States,85254,480-463-0842,http://financialconsultingprofessionals.com/,10400000,1-10
"FORTIUS FINANCIAL ADVISORS, LLC","FORTIUS FINANCIAL ADVISORS, LLC",4001 SOUTH 700 EAST,SALT LAKE CITY,UT,United States,84107,888-365-7009,HTTPS://WWW.FORTIUSADVISORS.COM,10400408,0
"ROWE CONSULTING GROUP, LLC","ROWE CONSULTING GROUP, LLC",,,,,,312-913-9872,https://www.enhancedhedge.com,10405902,
HARWOOD INVESTMENT GROUP LLC,HARWOOD INVESTMENT GROUP LLC,2593 BROAD AVENUE,MEMPHIS,TN,United States,38112,901-685-3355,,10411686,
"HACKET ASSET MANAGEMENT, INC.","HACKET ASSET MANAGEMENT, INC.",,,,,,401--739-6660,,10421757,
"FALCON POINT CAPITAL, LLC","FALCON POINT CAPITAL, LLC",,,,,,415-782-9600,HTTP://FALCONPOINTCAPITAL.COM/,10425007,0
EOS FINANCIAL PLANNING LLC,EOS FINANCIAL PLANNING LLC,,,,,,617-286-6822,HTTPS://WWW.EOSFP.COM/,10426501,11-25
"BMA ADVISORS, LLC","BMA ADVISORS, LLC",,,,,,310-544-3545,HTTPS://WWW.BMAADVISORS.COM,10428424,0
"OXFORD MARTIN, LLC","OXFORD MARTIN, LLC",ONE ESSEX GREEN DRIVE,PEABODY,MA,United States,01960,617-932-9861,http://www.oxfordmartin.com,10430242,0
"GOYDAS CAPITAL INVESTMENT MANAGEMENT, LLC","GOYDAS CAPITAL INVESTMENT MANAGEMENT, LLC",,,,,,(917) 288-1578,https://www.facebook.com/Goydas-Capital-Investment-Management-261946217624584/,10434275,0
"WALTERS STRATEGIC ADVISORS, LLC","WALTERS STRATEGIC ADVISORS, LLC",5266 OFFICE PARK BLVD,BRADENTON,FL,United States,34203,941-751-4224,,10439932,1-10
"KAMADA INVESTMENT MANAGEMENT, LLC",KAMADA INVESTMENT MANAGEMENT,,,,,,4254421809,HTTP://WWW.KAMADAINVESTMENT.COM,10446213,
"STEPHEN MATHIAS & CO., INC.","STEPHEN MATHIAS & CO., INC.",12655 OLIVE BLVD.,CREVE COEUR,MO,United States,63141,314-878-6364,HTTP://WWW.MATHIASCPA.COM,10446488,26-50
"GOLDEN HILLS FINANCIAL GROUP, LLC","GOLDEN HILLS FINANCIAL GROUP, LLC",,,,,,719-260-8000,HTTPS://WWW.GOLDENHILLSGROUP.COM/,10452488,0
"CONSCIENTIOUS WEALTH PLANNING AND INVESTMENT MANAGEMENT, LLC",CWPIM,8000 AVALON BLVD.,ALPHARETTA,GA,United States,30009,770-596-2692,http://cwpimriskscore.com,10452691,11-25
ROCKRIDGE MONEY MANAGEMENT LLC,ROCKRIDGE MONEY MANAGEMENT LLC,,,,,,510-593-7431,,10455061,
KNIGHT OF CALIFORNIA LLC,KNIGHT OF CALIFORNIA LLC,,,,,,831-884-5280,,10456376,
"WITTER & WESTLAKE INVESTMENTS, INC.",WITTER & WESTLAKE INVESTMENTS,,,,,,502-339-8840,HTTP://WWW.WITTERWESTLAKE.COM,10462000,
BLUE CREEK ASSET MANAGEMENT,BLUE CREEK ASSET MANAGEMENT,,,,,,931-580-6999,,10468200,0
"RENOVATE FINANCIAL PLANNING, LLC",RENOVATE FINANCIAL PLANNING,,,,,,612-438-2737,,10470190,11-25
"BRIGHTSTONE CAPITAL MANAGEMENT, LLC","BRIGHTSTONE CAPITAL MANAGEMENT, LLC",CORPORATE BOX 10,"ST. CLAIR, PORT-OF-SPAIN",,Trinidad and Tobago,,1 (740) 409-8235,,10477953,
"ARGOS GLOBAL ADVISORS, LLC","ARGOS GLOBAL ADVISORS, LLC",812 ANACAPA ST.,SANTA BARBARA,CA,United States,93101,805-203-1208,HTTP://WWW.ARGOSGLOBAL.US.COM/,10487438,
"TORO BRAVO INVESTMENT ADVISORS, LLC","TORO BRAVO INVESTMENT ADVISORS, LLC",3418 OLSEN BLVD,AMARILLO,TX,United States,79109,(806) 359-7766,https://www.torobravoadvisors.com,10491572,51-100
TRILLIUM SQUARE ADVISORS LLC,TRILLIUM SQUARE ADVISORS LLC,,,,,,(919) 825-1818,https://www.facebook.com/trilliumsquare,10493129,26-50
"NEUSE RIVER CAPITAL, LLC","NEUSE RIVER CAPITAL, LLC",,,,,,919.274.8982,HTTP://WWW.NEUSERIVERCAPITAL.COM,10500000,0
"MARATHON INVESTMENTS, LLC","MARATHON INVESTMENTS, LLC",,,,,,203-972-6024,,10500000,1-10
"JONES CAPITAL ADVISORS, LLC","JONES CAPITAL ADVISORS, LLC",1022 E. 15TH STREET,PLANO,TX,United States,75074,214-587-9774,HTTP://WWW.JONESCAPITALADVISORS.COM,10500000,11-25
"PEACHER, INC.","PEACHER, INC.",331 EMERALD BAY,LAGUNA BEACH,CA,United States,92651,858-699-5427,,10500000,0
"BCM WEALTH MANAGEMENT, LLC.","BCM WEALTH MANAGEMENT, LLC.",,,,,,7206449360,,10500000,
TIERCEL CAPITAL TEXAS LLC,TIERCEL CAPITAL TEXAS LLC,1601 RONSON RD,HOUSTON,TX,United States,77055,713-478-3702,https://www.linkedin.com/in/romackay?,10500000,
"CAPITAL PORTFOLIO MANAGEMENT, INC.","CAPITAL PORTFOLIO MANAGEMENT, INC.",9515 DEERECO RD,TIMONIUM,MD,United States,21093,410-667-4575,HTTP://WWW.CPMINVESTMENTS.COM,10500000,
"GEYER, FRANK EUGENE",GEYER INVESTMENT ADVISORS,,,,,,406-581-0794,HTTP://GEYERINVEST.COM,10500000,0
"PAMELA KRUEGER AND COMPANY, INC.","PAMELA KRUEGER AND COMPANY, INC.",,,,,,512-680-2016,HTTP://WWW.PAMELAKRUEGER.COM,10500000,
"NOBLE CAPITAL MANAGEMENT, INC.","NOBLE CAPITAL MANAGEMENT, INC.",150 EAST PALMETTO PARK ROAD,BOCA RATON,FL,United States,33432,561-994-1191,http://www.noblecapitalmarkets.com,10500000,
"INDEPENDENT INVESTMENT ADVISORS, INC.","INDEPENDENT INVESTMENT ADVISORS, INC.",901 MOPAC EXPRESSWAY SOUTH,AUSTIN,TX,United States,78746,512-481-2575,,10500000,
"PEBBLE MANAGEMENT GROUP, LLC",PEBBLE MANAGEMENT GROUP,3500 N. CAUSEWAY BLVD.,METAIRIE,LA,United States,70002,504-401-0179,HTTP://WWW.PEBBLEMG.COM,10500000,0
MANDALA FINANCIAL ADVISORS LLC,MANDALA FINANCIAL ADVISORS LLC,,,,,,312-890-6221,https://www.facebook.com/mandala.financial/,10500000,11-25
"DENNY, BARRY T.","DENNY, BARRY T.",,,,,,906-779-2132,,10500000,1-10
TKG FINANCIAL LLC,TKG FINANCIAL LLC,,,,,,253-444-8544,,10500000,
RIGHT TAIL CAPITAL LLC,RIGHT TAIL CAPITAL LLC,,,,,,443-690-3547,https://www.righttailcapital.com,10500000,
"TARRAGON CAPITAL, LLC","TARRAGON CAPITAL, LLC",345 FRAZIER AVENUE,CHATTANOOGA,TN,United States,37405,423-400-8072,http://www.linkedin.com/in/kyle-kelly-9268344b/,10500659,1-10
"PLANNING FOR WEALTH, LLC","PLANNING FOR WEALTH, LLC",1900 ROSELAWN AVENUE,MONROE,LA,United States,71201,318-340-0324,https://www.pfwllc.com,10522323,1-10
"MILLENNIAL WEALTH MANAGEMENT, LLC","MILLENNIAL WEALTH MANAGEMENT, LLC",2095 W. 6TH AVENUE,BROOMFIELD,CO,United States,80020,(303)578-8535,https://www.linkedin.com/company/millennial-wealth-management-llc,10541200,51-100
ALESIA INVESTMENT MANAGEMENT LLC,ALESIA INVESTMENT MANAGEMENT LLC,,,,,,(818) 458-8459,HTTPS://WWW.ALESIAINV.COM,10547867,1-10
"EMPOWERING FINANCE, LLC","EMPOWERING FINANCE, LLC",,,,,,(503) 213-6463,https://www.facebook.com/empoweringfinances,10556117,51-100
"PERPETUAL CAPITAL ADVISORS, LLC","PERPETUAL CAPITAL ADVISORS, LLC",,,,,,775-302-0002,HTTPS://WWW.FACEBOOK.COM/PERPETUALADVISORS.COM,10557949,26-50
"LOCKER WEALTH MANAGEMENT, INC.","LOCKER WEALTH MANAGEMENT, INC.",,,,,,708-960-0520,HTTPS://WWW.FACEBOOK.COM/LOCKERWEALTH,10563000,26-50
"MILLENNIUM PLANNING GROUP, LLC","MILLENNIUM PLANNING GROUP, LLC",,,,,,984-214-8540,Https://www.facebook.com/michaelwhitmanmba,10563793,11-25
"ROWEN CAPITAL MANAGEMENT, LLC","ROWEN CAPITAL MANAGEMENT, LLC",,,,,,(415) 875-9348,,10575054,0
"BRENTWOOD 401K, LLC","BRENTWOOD 401K, LLC",,,,,,847-477-2784,HTTP://WWW.BRENTWOOD401K.COM,10580300,0
AMAUTA LLC,AMAUTA FINANCIAL,,,,,,202-607-0298,HTTPS://WWW.AMAUTAFINANCIAL.COM,10582488,0
"WEALTH MANAGEMENT SERVICES OF AUSTIN, LLC","WEALTH MANAGEMENT SERVICES OF AUSTIN, LLC",901 S. MOPAC EXPRESSWAY,AUSTIN,TX,United States,78746,512-478-0008,HTTPS://WWW.LINKEDIN.COM/IN/WEALTHAUSTIN/,10584366,0
